"id","name","title","group","latitude","longitude","url","services","service_count","categories"
9898,"Vironallas, Helsinki","Vironallas","Helsinki","60.1667","24.9533","https://www.vierassatamat.fi/fi/kohde/vironallas-helsinki-9898","Alko,Apteekki,Bussi,Kahvila,Kauppa,Majoitus,Ravintola,Satama,WC","9","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
7972,"Virojoki pohjoinen, Virolahti","Virojoki pohjoinen","Virolahti","60.5833","27.71","https://www.vierassatamat.fi/fi/kohde/virojoki-pohjoinen-virolahti-7972","Apteekki,Bussi,Kahvila,Kauppa,Keräyspiste,Lääkäri,Opastus,Polttoaine,Ravintola,Satama","10","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7862,"Virojoki eteläinen, Virolahti","Virojoki eteläinen","Virolahti","60.5833","27.7117","https://www.vierassatamat.fi/fi/kohde/virojoki-etelainen-virolahti-7862","Apteekki,Bussi,Kahvila,Kauppa,Keräyspiste,Lääkäri,Opastus,Polttoaine,Ravintola,Satama","10","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7854,"Varissaari, Kotka","Varissaari","Kotka","60.4467","26.955","https://www.vierassatamat.fi/fi/kohde/varissaari-kotka-7854","Grillipaikka,Juomavesi,Kahvila,Ravintola,Satama,Uimaranta,WC,Yhteysalus","8","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9337,"Vallisaari, Helsinki","Vallisaari","Helsinki","60.135","25.0067","https://www.vierassatamat.fi/fi/kohde/vallisaari-helsinki-9337","Kahvila,Keräyspiste,Kioski,Luontopolku,Nähtävää,Opastus,Ravintola,Tapahtumat,WC","9","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8302,"Valkosaari / NJK, Helsinki","Valkosaari / NJK","Helsinki","60.16","24.9633","https://www.vierassatamat.fi/fi/kohde/valkosaari-njk-helsinki-8302","Bussi,Grillipaikka,Juomavesi,Kauppa,Keräyspiste,Opastus,Pesutupa,Ravintola,Satama,Sauna,Suihku,Sähkö,WC,Yhteysalus","14","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7850,"Ulko-Tammio, Hamina","Ulko-Tammio","Hamina","60.35","27.4533","https://www.vierassatamat.fi/fi/kohde/ulko-tammio-hamina-7850","Grillipaikka,Juomavesi,Luontopolku,Nähtävää,Opastus,Satama,WC","7","ruoka=false;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7846,"Ukkosaari, Virolahti","Ukkosaari","Virolahti","60.5783","27.7367","https://www.vierassatamat.fi/fi/kohde/ukkosaari-virolahti-7846","Keräyspiste,Satama,Septityhjennys,Veneramppi","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8188,"Tammio, Hamina","Tammio","Hamina","60.4167","27.4167","https://www.vierassatamat.fi/fi/kohde/tammio-hamina-8188","Nähtävää,Satama","2","ruoka=false;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7830,"Svartholm, Loviisa ","Svartholm","Loviisa","60.38","26.3017","https://www.vierassatamat.fi/fi/kohde/svartholm-loviisa-7830","Grillipaikka,Juomavesi,Kahvila,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Ravintola,Satama,Uimaranta,WC,Yhteysalus","12","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9332,"Svartbäck, Porvoo","Svartbäck","Porvoo","60.2733","25.5117","https://www.vierassatamat.fi/fi/kohde/svartback-porvoo-9332","Kahvila,Ravintola,WC","3","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8058,"Suuri-Pisi, Virolahti","Suuri-Pisi","Virolahti","60.45","27.6317","https://www.vierassatamat.fi/fi/kohde/suuri-pisi-virolahti-8058","Grillipaikka,Nähtävää,Opastus,Satama,WC","5","ruoka=false;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
6794,"Suomenlinna, Helsinki","Suomenlinna","Helsinki","60.1467","24.9817","https://www.vierassatamat.fi/fi/kohde/suomenlinna-helsinki-6794","Elintarvikekioski,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Nähtävää,Opastus,Pesutupa,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Uimaranta,WC,Yhteysalus","19","ruoka=true;nahtavyys=true;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9891,"Struka, Pyhtää","Struka","Pyhtää","60.47","26.5667","https://www.vierassatamat.fi/fi/kohde/struka-pyhtaa-9891","Satama","1","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8068,"Stornäsudden, Porvoo","Stornäsudden","Porvoo","60.3167","25.6033","https://www.vierassatamat.fi/fi/kohde/stornasudden-porvoo-8068","Grillipaikka,Opastus,Satama,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8066,"Stora Brokholmen, Porvoo","Stora Brokholmen","Porvoo","60.2267","25.9983","https://www.vierassatamat.fi/fi/kohde/stora-brokholmen-porvoo-8066","Grillipaikka,Juomavesi,Opastus,Satama,Uimaranta,WC","6","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9893,"Söderby, Porvoo","Söderby","Porvoo","60.207631678323864","25.863346171084817","https://www.vierassatamat.fi/fi/kohde/soderby-porvoo-9893","Juomavesi,Kauppa,Satama","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9338,"Sirpalesaari, Helsinki","Sirpalesaari","Helsinki","60.1517","24.9417","https://www.vierassatamat.fi/fi/kohde/sirpalesaari-helsinki-9338","Juomavesi,Keräyspiste,Ravintola,Sauna,Suihku,Sähkö,WC","7","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9868,"Sipoon Kaunissaari, Sipoo","Sipoon Kaunissaari","Sipoo","60.1683","25.3533","https://www.vierassatamat.fi/fi/kohde/sipoon-kaunissaari-sipoo-9868","Grillipaikka,Juomavesi,Kahvila,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Majoitus,Opastus,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Uimaranta,WC,Yhteysalus","17","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
8516,"Seapoint Pohjoisranta, veneasema, Helsinki","Seapoint Pohjoisranta, veneasema","Helsinki","60.1733","24.9633","https://www.vierassatamat.fi/fi/kohde/seapoint-pohjoisranta-veneasema-helsinki-8516","Polttoaine","1","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8515,"Seapoint Pellinge, veneasema, Porvoo","Seapoint Pellinge, veneasema","Porvoo","60.235","25.87","https://www.vierassatamat.fi/fi/kohde/seapoint-pellinge-veneasema-porvoo-8515","Polttoaine","1","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8517,"Seapoint Liuskaluoto, veneasema, Helsinki","Seapoint Liuskaluoto, veneasema","Helsinki","60.1533","24.9467","https://www.vierassatamat.fi/fi/kohde/seapoint-liuskaluoto-veneasema-helsinki-8517","Elintarvikekioski,Polttoaine,Ravintola,Septityhjennys","4","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8176,"Särkkä, Helsinki","Särkkä","Helsinki","60.1517","24.9667","https://www.vierassatamat.fi/fi/kohde/sarkka-helsinki-8176","Juomavesi,Keräyspiste,Nähtävää,Ravintola,Satama,Septityhjennys,Suihku,WC,Yhteysalus","9","ruoka=true;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8028,"Sapokanlahti, Kotka","Sapokanlahti","Kotka","60.4567","26.9583","https://www.vierassatamat.fi/fi/kohde/sapokanlahti-kotka-8028","Alko,Apteekki,Bussi,Grillipaikka,Juomavesi,Kahvila,Kauppa,Keräyspiste,Leikkipaikka,Luontopolku,Moottorihuolto,Nähtävää,Opastus,Pesutupa,Polttoaine,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC","25","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8075,"Ristisaari, Pyhtää","Ristisaari","Pyhtää","60.31","26.8017","https://www.vierassatamat.fi/fi/kohde/ristisaari-pyhtaa-8075","Grillipaikka,Opastus,Satama,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8328,"Rankki, Kotka","Rankki","Kotka","60.3733","26.9533","https://www.vierassatamat.fi/fi/kohde/rankki-kotka-8328","Elintarvikekioski,Grillipaikka,Juomavesi,Kahvila,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Majoitus,Nähtävää,Opastus,Pesutupa,Ravintola,Satama,Sauna,Suihku,Sähkö,Uimaranta,Veneramppi,WC,Yhteysalus","21","ruoka=true;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
